"Address","Địa chỉ"
"Password","Mật mã"
"Update Total","Cập nhật tổng số"
"Change Shipping Address","Đổi địa chỉ vận chuyển"
"Email Address","Địa chỉ Email"
"Edit","Sửa"
"Add to Cart","Bỏ vào Giỏ"
"Edit Sản phẩm","Sửa Sản phẩm"
"Remove","Gỡ bỏ"
"Continue","Tiếp tục"
"Forgot an Item?","Quên một Sản phẩm?"
"Shopping Cart is Empty","Giỏ hàng rỗng"
"Login","Đăng nhập"
"Add New Address","Thêm Địa chỉ"
"Default Billing","Thanh toán mặc định"
"Enter a New Address","Nhập địa chỉ mới"
"Checkout as Guest","Thanh toán như Khách thường"
"Discount Codes","Mã giảm giá"
"Select State/Province...","Chọn Tỉnh thành…"
"Continue to review Your Order","Tiếp tục Nhận xét đơn đặt hàng"
"Your order has been received","Đã nhận được đơn đặt hàng của bạn"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Có <a href=""%s""><strong>%s sản phẩm</strong></a> trong giỏ hàng."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Có <a href=""%s""><strong>1 sản phẩm</strong></a> trong giỏ hàng."
"My Cart","Giỏ hàng"
"My Cart (%s item)","Giỏ hàng (%s sp)"
"My Cart (%s items)","Giỏ hàng (%s sp)"
"My Cart Link","Liên kết giỏ hàng"
"Cart Subtotal:","Tổng cộng:"
"%s was successfully added to your shopping cart.","%s đã được thêm vào giỏ hàng của bạn."
"%s was added to your shopping cart.","%s đã được thêm vào giỏ hàng của bạn."
"Ship to different address","Giao đến địa chỉ khác"
"Based on your selection, you may be interested in the following items:","Bạn cũng có thể mua thêm những sản phẩm tương ứng dưới đây:"
"Cancel Coupon","Không áp dụng"
"Coupon code ""%s"" is not valid.","Mã giảm giá ""%s"" không đúng, hoặc trong danh sách sản phẩm có sản phẩm Khuyến mại! Quý khách vui lòng kiểm tra lại!"
"Coupon code ""%s"" was applied successfully.","Mã giảm giá ""%s"" đã được áp dụng."
"Coupon code was canceled successfully.","Mã giảm giá đã được hủy bỏ."
"Coupon code ""%s"" was applied.","Mã giảm giá “%s” đã được áp dụng."
"Other items in your order","Những sản phẩm khác trong hóa đơn của bạn"
"Continue to Review Your Order","Tiếp tục"
"Please select shipping address for applicable items","Hãy chọn địa chỉ vận chuyển cho sản phẩm"
"Change","Sửa"
"Order Review","Xem lại hóa đơn"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Nhấp <a href=""%s"" onclick=""this.target=\'_blank\'"">vào đây để in</a> một bản sao chép hóa đơn của bạn."
"Coupon code was canceled.","Mã giảm giá đã đươc huỷ."
"Order Summary","Tổng kết"
"Please enter valid details below.","Chọn hình thức thanh toán."
"Confirm password","Xác nhận mật mã"
